speed_pct,rpm,mdot_corr_kgs,PR_tt,eta_tt,eta_poly
100,21789,5.23854,3.4105,0.634308,0.689871
100,21789,5.23899,3.6010,0.666904,0.719631
100,21789,5.23173,3.8022,0.700430,0.749746
100,21789,5.23945,3.8999,0.714983,0.762736
100,21789,5.23672,4.0034,0.731452,0.777260
100,21789,5.23037,4.0999,0.747648,0.791392
100,21789,5.19953,4.2035,0.763335,0.805039
100,21789,5.17866,4.2997,0.777126,0.816978
100,21789,5.14963,4.3945,0.789517,0.827674
100,21789,5.09611,4.5133,0.803405,0.839633
100,21789,5.00086,4.6152,0.815834,0.850235
100,21789,4.92692,4.6847,0.821689,0.855290
100,21789,4.84255,4.7581,0.825837,0.858947
100,21789,4.75501,4.8012,0.827716,0.860634
100,21789,4.75319,4.8017,0.827550,0.860501
100,21789,4.74412,4.8051,0.827766,0.860688
100,21789,4.72915,4.8151,0.827943,0.860869
100,21789,4.71736,4.8148,0.828013,0.860925
100,21789,4.70829,4.8236,0.827856,0.860829
100,21789,4.68697,4.8323,0.828254,0.861184
