# x,rtheta,r
230.285000,0.397200,10.747000
230.283603,0.398732,10.747000
230.281679,0.399843,10.747000
230.279446,0.400441,10.747000
230.277114,0.400465,10.747000
230.274863,0.399934,10.747000
230.272869,0.398882,10.747000
230.271257,0.397367,10.747000
230.270077,0.395490,10.747000
230.269375,0.393356,10.747000
230.269203,0.391101,10.747000
230.269619,0.388888,10.747000
230.270520,0.386816,10.747000
230.271419,0.384758,10.747000
230.272284,0.382703,10.747000
230.273121,0.380649,10.747000
230.273936,0.378597,10.747000
230.274733,0.376546,10.747000
230.275518,0.374498,10.747000
230.276298,0.372451,10.747000
230.277077,0.370406,10.747000
230.277862,0.368363,10.747000
230.278658,0.366322,10.747000
230.279465,0.364283,10.747000
230.280283,0.362245,10.747000
230.281112,0.360210,10.747000
230.281951,0.358176,10.747000
230.282800,0.356144,10.747000
230.283658,0.354113,10.747000
230.284525,0.352085,10.747000
230.285401,0.350058,10.747000
230.286284,0.348032,10.747000
230.287174,0.346009,10.747000
230.288072,0.343987,10.747000
230.288976,0.341966,10.747000
230.289885,0.339948,10.747000
230.290800,0.337930,10.747000
230.291720,0.335914,10.747000
230.292645,0.333900,10.747000
230.293574,0.331888,10.747000
230.294508,0.329877,10.747000
230.295447,0.327867,10.747000
230.296389,0.325859,10.747000
230.297336,0.323853,10.747000
230.298287,0.321849,10.747000
230.299241,0.319846,10.747000
230.300200,0.317845,10.747000
230.301162,0.315846,10.747000
230.302127,0.313849,10.747000
230.303096,0.311853,10.747000
230.304068,0.309860,10.747000
230.305043,0.307868,10.747000
230.306021,0.305878,10.747000
230.307002,0.303890,10.747000
230.307985,0.301905,10.747000
230.308971,0.299921,10.747000
230.309959,0.297939,10.747000
230.310950,0.295959,10.747000
230.311943,0.293981,10.747000
230.312938,0.292005,10.747000
230.313936,0.290032,10.747000
230.314936,0.288060,10.747000
230.315939,0.286090,10.747000
230.316945,0.284122,10.747000
230.317953,0.282156,10.747000
230.318964,0.280193,10.747000
230.319978,0.278231,10.747000
230.320995,0.276271,10.747000
230.322015,0.274313,10.747000
230.323037,0.272357,10.747000
230.324063,0.270403,10.747000
230.325091,0.268451,10.747000
230.326123,0.266501,10.747000
230.327157,0.264553,10.747000
230.328195,0.262607,10.747000
230.329237,0.260663,10.747000
230.330281,0.258721,10.747000
230.331329,0.256781,10.747000
