# x,r,theta
190.755190,19.650858,0.000000
191.167785,19.404001,0.000000
191.581173,19.158469,0.000000
191.995067,18.913797,0.000000
192.409464,18.669979,0.000000
192.824616,18.427441,0.000000
193.240778,18.186651,0.000000
193.658216,17.948072,0.000000
194.077164,17.712165,0.000000
194.497896,17.479445,0.000000
194.920648,17.250413,0.000000
195.345546,17.025402,0.000000
195.772651,16.804597,0.000000
196.201934,16.588058,0.000000
196.633361,16.375829,0.000000
197.066915,16.167965,0.000000
197.502698,15.964841,0.000000
197.940933,15.767042,0.000000
198.381902,15.575430,0.000000
198.825958,15.391089,0.000000
199.273442,15.215247,0.000000
199.724579,15.048977,0.000000
200.179486,14.893351,0.000000
200.638229,14.749420,0.000000
201.100770,14.618214,0.000000
201.566967,14.500660,0.000000
202.036379,14.396680,0.000000
202.508625,14.306451,0.000000
202.983598,14.232039,0.000000
203.462175,14.186099,0.000000
203.940644,14.138767,0.000000
204.418638,14.086885,0.000000
204.896316,14.032132,0.000000
205.373521,13.973391,0.000000
205.850185,13.910428,0.000000
206.326452,13.844532,0.000000
206.802506,13.777115,0.000000
207.278549,13.709604,0.000000
207.754772,13.643407,0.000000
208.231374,13.579946,0.000000
208.708504,13.520648,0.000000
209.186297,13.466944,0.000000
209.664823,13.420272,0.000000
210.144015,13.380921,0.000000
210.623555,13.346095,0.000000
211.103183,13.312476,0.000000
211.582697,13.277193,0.000000
212.062063,13.240023,0.000000
212.541341,13.201734,0.000000
213.020609,13.163349,0.000000
213.499970,13.126094,0.000000
213.979498,13.091091,0.000000
214.459194,13.058460,0.000000
214.939003,13.027505,0.000000
215.418801,12.996405,0.000000
215.898452,12.963120,0.000000
216.377869,12.926603,0.000000
216.857046,12.887051,0.000000
217.336096,12.846057,0.000000
217.815179,12.805359,0.000000
218.294260,12.764709,0.000000
218.773320,12.723794,0.000000
219.252433,12.683497,0.000000
219.731568,12.643414,0.000000
220.210620,12.602381,0.000000
220.689711,12.561805,0.000000
221.168865,12.521971,0.000000
221.647930,12.481103,0.000000
222.126995,12.440304,0.000000
222.606114,12.400058,0.000000
223.085199,12.359365,0.000000
223.564219,12.317994,0.000000
224.043533,12.280191,0.000000
224.522457,12.237946,0.000000
224.999764,12.180069,0.000000
225.478001,12.130880,0.000000
225.957746,12.099044,0.000000
226.437313,12.064581,0.000000
226.916906,12.030425,0.000000
227.396495,11.996251,0.000000
227.876054,11.961658,0.000000
228.355635,11.927348,0.000000
228.835208,11.892998,0.000000
229.314769,11.858453,0.000000
229.794470,11.825845,0.000000
230.274450,11.797775,0.000000
230.754755,11.775828,0.000000
231.235107,11.754944,0.000000
231.715443,11.733788,0.000000
232.195797,11.712983,0.000000
232.676122,11.691345,0.000000
233.156472,11.670474,0.000000
233.636809,11.649362,0.000000
234.117128,11.627649,0.000000
234.597467,11.606467,0.000000
235.077814,11.585522,0.000000
235.558129,11.563806,0.000000
236.038738,11.550729,0.000000
236.519537,11.551752,0.000000
237.000050,11.565844,0.000000
