 EEE-HPT-1-DW.DATA                                                              
          NK          NJ        NBLADE    UNITS
          41          33          76           1
       X           R           RT
  6392.94922   321.95490   -29.73560
  6392.94922   321.95618   -29.73554
  6392.94873   321.97327   -29.73472
  6392.94727   322.02194   -29.73241
  6392.94482   322.11798   -29.72785
  6392.94092   322.27719   -29.72031
  6392.93408   322.51541   -29.70917
  6392.92578   322.84839   -29.69405
  6392.91357   323.29190   -29.67552
  6392.89795   323.86179   -29.65484
  6392.87842   324.58963   -29.63288
  6392.85449   325.44379   -29.61346
  6392.82422   326.48749   -29.59853
  6392.75342   328.75351   -29.58698
  6392.67188   331.01917   -29.59531
  6392.57764   333.28436   -29.61410
  6392.43555   335.54703   -29.57443
  6392.27637   337.80856   -29.52316
  6392.10840   340.06946   -29.46288
  6391.93652   342.33008   -29.40103
  6391.76514   344.59076   -29.33359
  6391.61572   346.85297   -29.17241
  6391.47900   349.11594   -28.93890
  6391.34717   351.37927   -28.70349
  6391.21973   353.64285   -28.46300
  6391.09668   355.90665   -28.21830
  6390.97607   358.17056   -27.95962
  6390.85840   360.43463   -27.68754
  6390.74219   362.69882   -27.44245
  6390.68945   363.74158   -27.33354
  6390.64648   364.59500   -27.24666
  6390.60938   365.32217   -27.17464
  6390.58057   365.89154   -27.12041
  6390.55811   366.33469   -27.08122
  6390.54150   366.66733   -27.05351
  6390.52979   366.90533   -27.03410
  6390.52148   367.06442   -27.02123
  6390.51660   367.16037   -27.01349
  6390.51416   367.20898   -27.00958
  6390.51318   367.22604   -27.00820
  6390.51318   367.22733   -27.00810
