 EEE-HPT-3-UP.DATA                                                              
          NK          NJ        NBLADE    UNITS
          41          33          70           1
       X           R           RT
  6457.67285   311.63440    11.72799
  6457.67285   311.63568    11.72809
  6457.67334   311.66113    11.73012
  6457.67529   311.73502    11.73602
  6457.67822   311.88147    11.74773
  6457.68311   312.12476    11.76727
  6457.69092   312.48901    11.79691
  6457.70166   312.99844    11.83968
  6457.71631   313.67731    11.90155
  6457.73486   314.54977    11.99027
  6457.75879   315.66422    12.11513
  6457.78809   316.97223    12.27752
  6457.82373   318.57059    12.49697
  6457.90771   322.03851    13.02406
  6458.00146   325.50616    13.65656
  6458.10889   328.97342    14.35721
  6458.25781   332.43915    15.14467
  6458.41992   335.90427    15.95359
  6458.59375   339.36887    16.80013
  6458.77490   342.83304    17.68212
  6458.96143   346.29697    18.56893
  6459.14844   349.76083    19.49271
  6459.33496   353.22476    20.44411
  6459.51904   356.68878    21.37455
  6459.69873   360.15305    22.25244
  6459.87012   363.61774    23.08682
  6460.01514   367.08365    23.89166
  6460.15186   370.54987    24.59763
  6460.28369   374.01633    25.21393
  6460.34277   375.61398    25.46033
  6460.39062   376.92145    25.64186
  6460.43115   378.03540    25.78096
  6460.46240   378.90750    25.87918
  6460.48730   379.58603    25.94736
  6460.50537   380.09528    25.99433
  6460.51855   380.45938    26.02684
  6460.52783   380.70255    26.04824
  6460.53320   380.84897    26.06107
  6460.53564   380.92279    26.06753
  6460.53662   380.94824    26.06976
  6460.53662   380.94952    26.06987
