# x,rtheta,r
252.013000,-1.620350,14.980000
252.011626,-1.626833,14.980000
252.010933,-1.633392,14.980000
252.010254,-1.640004,14.980000
252.010078,-1.646634,14.980000
252.010424,-1.653250,14.980000
252.011173,-1.659829,14.980000
252.012334,-1.666349,14.980000
252.013917,-1.672798,14.980000
252.015924,-1.679163,14.980000
252.018322,-1.685436,14.980000
252.020901,-1.691621,14.980000
252.023488,-1.697708,14.980000
252.026091,-1.703669,14.980000
252.028900,-1.709540,14.980000
252.032089,-1.715349,14.980000
252.035658,-1.721066,14.980000
252.039436,-1.726691,14.980000
252.043225,-1.732239,14.980000
252.046997,-1.737716,14.980000
252.050751,-1.743129,14.980000
252.054511,-1.748484,14.980000
252.058402,-1.753780,14.980000
252.062478,-1.759020,14.980000
252.066639,-1.764218,14.980000
252.070841,-1.769381,14.980000
252.075085,-1.774508,14.980000
252.079367,-1.779598,14.980000
252.083688,-1.784651,14.980000
252.088047,-1.789666,14.980000
252.092441,-1.794644,14.980000
252.096872,-1.799582,14.980000
252.101337,-1.804482,14.980000
252.105836,-1.809342,14.980000
252.110367,-1.814162,14.980000
252.114930,-1.818942,14.980000
252.119524,-1.823681,14.980000
252.124153,-1.828379,14.980000
252.128817,-1.833035,14.980000
252.133519,-1.837649,14.980000
252.138260,-1.842221,14.980000
252.143044,-1.846751,14.980000
252.147871,-1.851238,14.980000
252.152743,-1.855682,14.980000
252.157664,-1.860082,14.980000
252.162633,-1.864439,14.980000
252.167654,-1.868752,14.980000
252.172724,-1.873019,14.980000
252.177842,-1.877238,14.980000
252.183005,-1.881409,14.980000
252.188212,-1.885529,14.980000
252.193460,-1.889597,14.980000
252.198748,-1.893610,14.980000
252.204075,-1.897569,14.980000
252.209437,-1.901470,14.980000
252.214834,-1.905312,14.980000
252.220264,-1.909096,14.980000
252.225727,-1.912825,14.980000
252.231224,-1.916502,14.980000
252.236754,-1.920127,14.980000
252.242317,-1.923705,14.980000
252.247914,-1.927237,14.980000
252.253545,-1.930727,14.980000
252.259208,-1.934176,14.980000
252.264905,-1.937587,14.980000
252.270636,-1.940956,14.980000
252.276398,-1.944278,14.980000
252.282194,-1.947546,14.980000
252.288021,-1.950754,14.980000
252.293880,-1.953896,14.980000
252.299769,-1.956967,14.980000
252.305690,-1.959960,14.980000
252.311641,-1.962876,14.980000
252.317622,-1.965720,14.980000
252.323633,-1.968497,14.980000
252.329673,-1.971212,14.980000
252.335742,-1.973871,14.980000
252.341840,-1.976477,14.980000
252.347966,-1.979035,14.980000
252.354120,-1.981542,14.980000
252.360300,-1.983993,14.980000
252.366506,-1.986383,14.980000
252.372737,-1.988706,14.980000
252.378991,-1.990957,14.980000
252.385269,-1.993132,14.980000
252.391568,-1.995228,14.980000
252.397889,-1.997247,14.980000
252.404231,-1.999194,14.980000
252.410594,-2.001071,14.980000
252.416976,-2.002882,14.980000
252.423377,-2.004631,14.980000
252.429797,-2.006320,14.980000
252.436235,-2.007949,14.980000
252.442689,-2.009520,14.980000
252.449160,-2.011030,14.980000
252.455647,-2.012479,14.980000
252.462147,-2.013868,14.980000
252.468662,-2.015196,14.980000
252.475190,-2.016460,14.980000
252.481730,-2.017659,14.980000
252.488282,-2.018790,14.980000
252.494845,-2.019849,14.980000
252.501419,-2.020835,14.980000
252.508002,-2.021744,14.980000
252.514594,-2.022576,14.980000
