# x,rtheta,r
254.543000,0.231982,13.625000
254.541376,0.235186,13.625000
254.540459,0.238464,13.625000
254.540026,0.241788,13.625000
254.539682,0.245157,13.625000
254.539350,0.248547,13.625000
254.539864,0.251932,13.625000
254.540170,0.255300,13.625000
254.540813,0.258652,13.625000
254.541128,0.261962,13.625000
254.541983,0.265215,13.625000
254.543553,0.268400,13.625000
254.544839,0.271506,13.625000
254.546353,0.274563,13.625000
254.547667,0.277584,13.625000
254.549121,0.280539,13.625000
254.550927,0.283422,13.625000
254.552731,0.286251,13.625000
254.554647,0.289027,13.625000
254.556778,0.291743,13.625000
254.558980,0.294403,13.625000
254.561227,0.297008,13.625000
254.563519,0.299560,13.625000
254.565854,0.302058,13.625000
254.568234,0.304504,13.625000
254.570656,0.306898,13.625000
254.573120,0.309242,13.625000
254.575625,0.311536,13.625000
254.578171,0.313781,13.625000
254.580757,0.315977,13.625000
254.583383,0.318126,13.625000
254.586048,0.320228,13.625000
254.588750,0.322284,13.625000
254.591490,0.324295,13.625000
254.594264,0.326262,13.625000
254.597071,0.328188,13.625000
254.599907,0.330073,13.625000
254.602771,0.331919,13.625000
254.605659,0.333729,13.625000
254.608570,0.335503,13.625000
254.611500,0.337243,13.625000
254.614447,0.338952,13.625000
254.617409,0.340629,13.625000
254.620383,0.342278,13.625000
254.623367,0.343900,13.625000
254.626361,0.345493,13.625000
254.629367,0.347058,13.625000
254.632384,0.348593,13.625000
254.635416,0.350097,13.625000
254.638462,0.351569,13.625000
254.641524,0.353009,13.625000
254.644603,0.354414,13.625000
254.647700,0.355784,13.625000
254.650817,0.357118,13.625000
254.653955,0.358416,13.625000
254.657113,0.359676,13.625000
254.660288,0.360899,13.625000
254.663479,0.362088,13.625000
254.666683,0.363242,13.625000
254.669897,0.364363,13.625000
254.673118,0.365452,13.625000
254.676345,0.366510,13.625000
254.679573,0.367538,13.625000
254.682801,0.368537,13.625000
254.686027,0.369508,13.625000
254.689249,0.370451,13.625000
254.692472,0.371367,13.625000
254.695700,0.372253,13.625000
254.698936,0.373110,13.625000
254.702184,0.373936,13.625000
254.705449,0.374732,13.625000
254.708734,0.375495,13.625000
254.712042,0.376226,13.625000
254.715370,0.376924,13.625000
254.718716,0.377589,13.625000
254.722078,0.378222,13.625000
254.725453,0.378821,13.625000
254.728838,0.379388,13.625000
254.732231,0.379921,13.625000
254.735628,0.380421,13.625000
254.739028,0.380888,13.625000
254.742425,0.381324,13.625000
254.745819,0.381730,13.625000
254.749204,0.382106,13.625000
254.752578,0.382454,13.625000
254.755938,0.382775,13.625000
254.759281,0.383069,13.625000
254.762613,0.383336,13.625000
254.765939,0.383575,13.625000
254.769263,0.383786,13.625000
254.772593,0.383968,13.625000
254.775933,0.384120,13.625000
254.779290,0.384241,13.625000
254.782666,0.384332,13.625000
254.786061,0.384392,13.625000
254.789470,0.384423,13.625000
254.792892,0.384425,13.625000
254.796322,0.384399,13.625000
254.799757,0.384346,13.625000
254.803195,0.384267,13.625000
254.806632,0.384162,13.625000
254.810065,0.384031,13.625000
254.813491,0.383874,13.625000
254.816907,0.383691,13.625000
254.820309,0.383480,13.625000
254.823695,0.383243,13.625000
254.827061,0.382979,13.625000
254.830406,0.382687,13.625000
254.833735,0.382368,13.625000
254.837053,0.382023,13.625000
254.840366,0.381651,13.625000
254.843679,0.381254,13.625000
254.846999,0.380831,13.625000
254.850329,0.380384,13.625000
254.853676,0.379913,13.625000
254.857036,0.379418,13.625000
254.860406,0.378898,13.625000
254.863784,0.378354,13.625000
254.867167,0.377786,13.625000
254.870551,0.377194,13.625000
254.873933,0.376577,13.625000
254.877311,0.375935,13.625000
254.880681,0.375270,13.625000
254.884042,0.374581,13.625000
254.887389,0.373868,13.625000
254.890720,0.373132,13.625000
254.894032,0.372373,13.625000
254.897322,0.371591,13.625000
254.900589,0.370787,13.625000
254.903836,0.369961,13.625000
254.907068,0.369112,13.625000
254.910289,0.368241,13.625000
254.913506,0.367349,13.625000
254.916724,0.366434,13.625000
254.919948,0.365498,13.625000
254.923182,0.364539,13.625000
254.926427,0.363560,13.625000
254.929680,0.362559,13.625000
254.932938,0.361536,13.625000
254.936199,0.360493,13.625000
254.939461,0.359429,13.625000
254.942719,0.358344,13.625000
254.945972,0.357240,13.625000
254.949217,0.356115,13.625000
254.952452,0.354970,13.625000
254.955674,0.353805,13.625000
254.958880,0.352620,13.625000
254.962069,0.351416,13.625000
254.965238,0.350192,13.625000
254.968383,0.348949,13.625000
254.971505,0.347686,13.625000
254.974606,0.346404,13.625000
254.977690,0.345104,13.625000
254.980762,0.343784,13.625000
254.983826,0.342447,13.625000
254.986888,0.341091,13.625000
254.989951,0.339717,13.625000
254.993020,0.338325,13.625000
254.996098,0.336915,13.625000
254.999181,0.335488,13.625000
255.002268,0.334044,13.625000
255.005356,0.332582,13.625000
255.008444,0.331103,13.625000
255.011529,0.329607,13.625000
255.014608,0.328094,13.625000
255.017680,0.326565,13.625000
255.020742,0.325019,13.625000
255.023792,0.323456,13.625000
255.026828,0.321877,13.625000
255.029849,0.320282,13.625000
255.032853,0.318671,13.625000
255.035836,0.317045,13.625000
255.038798,0.315403,13.625000
255.041737,0.313746,13.625000
255.044654,0.312073,13.625000
255.047554,0.310386,13.625000
255.050439,0.308684,13.625000
255.053315,0.306968,13.625000
255.056185,0.305237,13.625000
255.059053,0.303491,13.625000
255.061921,0.301732,13.625000
255.064795,0.299958,13.625000
255.067674,0.298170,13.625000
255.070556,0.296369,13.625000
255.073440,0.294554,13.625000
255.076324,0.292725,13.625000
255.079205,0.290883,13.625000
255.082083,0.289028,13.625000
255.084955,0.287160,13.625000
255.087819,0.285279,13.625000
255.090674,0.283385,13.625000
255.093519,0.281478,13.625000
255.096351,0.279559,13.625000
255.099169,0.277628,13.625000
255.101971,0.275684,13.625000
255.104757,0.273729,13.625000
255.107524,0.271762,13.625000
255.110271,0.269782,13.625000
255.112996,0.267792,13.625000
255.115703,0.265790,13.625000
255.118393,0.263776,13.625000
255.121070,0.261751,13.625000
255.123738,0.259715,13.625000
255.126398,0.257669,13.625000
255.129055,0.255611,13.625000
255.131711,0.253542,13.625000
255.134369,0.251463,13.625000
255.137031,0.249373,13.625000
255.139696,0.247273,13.625000
255.142362,0.245162,13.625000
255.145028,0.243041,13.625000
255.147694,0.240910,13.625000
255.150356,0.238769,13.625000
255.153014,0.236618,13.625000
255.155667,0.234458,13.625000
255.158312,0.232287,13.625000
255.160949,0.230107,13.625000
255.163577,0.227918,13.625000
255.166194,0.225719,13.625000
255.168798,0.223511,13.625000
255.171390,0.221294,13.625000
255.173967,0.219068,13.625000
255.176528,0.216832,13.625000
255.179073,0.214588,13.625000
255.181599,0.212335,13.625000
255.184107,0.210074,13.625000
255.186598,0.207804,13.625000
255.189075,0.205525,13.625000
255.191540,0.203238,13.625000
255.193996,0.200943,13.625000
255.196444,0.198639,13.625000
255.198887,0.196327,13.625000
255.201328,0.194007,13.625000
255.203769,0.191679,13.625000
255.206212,0.189343,13.625000
255.208657,0.186999,13.625000
255.211102,0.184648,13.625000
255.213545,0.182288,13.625000
255.215984,0.179921,13.625000
255.218417,0.177547,13.625000
255.220841,0.175165,13.625000
255.223254,0.172775,13.625000
255.225654,0.170379,13.625000
255.228040,0.167974,13.625000
255.230409,0.165563,13.625000
255.232763,0.163145,13.625000
255.235102,0.160719,13.625000
255.237430,0.158286,13.625000
255.239748,0.155847,13.625000
255.242059,0.153400,13.625000
255.244363,0.150947,13.625000
255.246664,0.148488,13.625000
255.248963,0.146021,13.625000
255.251262,0.143548,13.625000
255.253564,0.141069,13.625000
255.255867,0.138583,13.625000
255.258172,0.136091,13.625000
255.260476,0.133592,13.625000
255.262780,0.131088,13.625000
255.265083,0.128577,13.625000
255.267383,0.126060,13.625000
255.269679,0.123537,13.625000
255.271971,0.121008,13.625000
255.274258,0.118473,13.625000
255.276539,0.115933,13.625000
255.278813,0.113386,13.625000
255.281080,0.110834,13.625000
255.283337,0.108276,13.625000
255.285586,0.105713,13.625000
255.287824,0.103144,13.625000
255.290052,0.100569,13.625000
255.292269,0.097989,13.625000
255.294473,0.095404,13.625000
255.296665,0.092813,13.625000
255.298842,0.090217,13.625000
255.301006,0.087616,13.625000
255.303156,0.085009,13.625000
255.305294,0.082398,13.625000
255.307421,0.079781,13.625000
255.309540,0.077159,13.625000
255.311651,0.074533,13.625000
255.313756,0.071901,13.625000
255.315857,0.069265,13.625000
255.317955,0.066624,13.625000
255.320051,0.063978,13.625000
255.322148,0.061327,13.625000
255.324247,0.058672,13.625000
255.326347,0.056013,13.625000
255.328449,0.053349,13.625000
255.330551,0.050680,13.625000
255.332652,0.048007,13.625000
255.334753,0.045330,13.625000
255.336852,0.042648,13.625000
255.338949,0.039962,13.625000
255.341043,0.037272,13.625000
255.343133,0.034577,13.625000
255.345219,0.031879,13.625000
255.347300,0.029176,13.625000
255.349375,0.026469,13.625000
255.351444,0.023759,13.625000
255.353507,0.021044,13.625000
255.355562,0.018325,13.625000
255.357609,0.015603,13.625000
255.359648,0.012876,13.625000
255.361678,0.010146,13.625000
255.363698,0.007412,13.625000
255.365708,0.004674,13.625000
255.367708,0.001933,13.625000
255.369697,-0.000812,13.625000
255.371673,-0.003560,13.625000
255.373639,-0.006313,13.625000
255.375594,-0.009068,13.625000
255.377540,-0.011827,13.625000
255.379479,-0.014590,13.625000
255.381411,-0.017356,13.625000
255.383338,-0.020125,13.625000
255.385260,-0.022897,13.625000
255.387179,-0.025673,13.625000
255.389096,-0.028452,13.625000
255.391013,-0.031235,13.625000
255.392930,-0.034020,13.625000
255.394848,-0.036809,13.625000
255.396768,-0.039601,13.625000
255.398689,-0.042396,13.625000
255.400609,-0.045194,13.625000
255.402528,-0.047995,13.625000
255.404444,-0.050799,13.625000
255.406357,-0.053607,13.625000
255.408266,-0.056417,13.625000
255.410169,-0.059230,13.625000
255.412065,-0.062045,13.625000
255.413954,-0.064864,13.625000
255.415834,-0.067686,13.625000
255.417705,-0.070510,13.625000
255.419566,-0.073337,13.625000
255.421417,-0.076167,13.625000
255.423260,-0.078999,13.625000
255.425096,-0.081834,13.625000
255.426925,-0.084672,13.625000
255.428749,-0.087512,13.625000
255.430569,-0.090355,13.625000
255.432385,-0.093201,13.625000
255.434198,-0.096049,13.625000
255.436010,-0.098900,13.625000
255.437822,-0.101753,13.625000
255.439634,-0.104608,13.625000
255.441448,-0.107466,13.625000
255.443264,-0.110327,13.625000
255.445081,-0.113189,13.625000
255.446900,-0.116055,13.625000
255.448719,-0.118922,13.625000
255.450539,-0.121792,13.625000
255.452358,-0.124664,13.625000
255.454177,-0.127539,13.625000
255.455995,-0.130415,13.625000
255.457812,-0.133294,13.625000
255.459627,-0.136175,13.625000
255.461439,-0.139059,13.625000
255.463249,-0.141945,13.625000
255.465056,-0.144832,13.625000
255.466859,-0.147722,13.625000
255.468659,-0.150615,13.625000
255.470454,-0.153509,13.625000
255.472244,-0.156405,13.625000
255.474030,-0.159304,13.625000
255.475810,-0.162204,13.625000
255.477584,-0.165106,13.625000
255.479352,-0.168010,13.625000
255.481114,-0.170916,13.625000
255.482869,-0.173824,13.625000
255.484616,-0.176734,13.625000
255.486356,-0.179646,13.625000
255.488089,-0.182559,13.625000
255.489812,-0.185474,13.625000
255.491528,-0.188391,13.625000
255.493237,-0.191309,13.625000
255.494940,-0.194229,13.625000
255.496637,-0.197151,13.625000
255.498330,-0.200075,13.625000
255.500018,-0.203000,13.625000
255.501704,-0.205927,13.625000
255.503387,-0.208856,13.625000
255.505069,-0.211786,13.625000
255.506750,-0.214718,13.625000
255.508431,-0.217652,13.625000
255.510113,-0.220588,13.625000
255.511797,-0.223525,13.625000
255.513483,-0.226464,13.625000
255.515171,-0.229405,13.625000
255.516860,-0.232347,13.625000
255.518550,-0.235291,13.625000
255.520239,-0.238236,13.625000
255.521928,-0.241183,13.625000
255.523614,-0.244132,13.625000
255.525299,-0.247081,13.625000
255.526981,-0.250033,13.625000
255.528659,-0.252985,13.625000
255.530332,-0.255939,13.625000
255.532001,-0.258894,13.625000
255.533664,-0.261850,13.625000
255.535320,-0.264807,13.625000
255.536969,-0.267765,13.625000
255.538612,-0.270724,13.625000
255.540249,-0.273685,13.625000
255.541880,-0.276646,13.625000
255.543507,-0.279609,13.625000
255.545130,-0.282573,13.625000
255.546750,-0.285538,13.625000
255.548368,-0.288504,13.625000
255.549983,-0.291471,13.625000
255.551598,-0.294440,13.625000
255.553212,-0.297409,13.625000
255.554827,-0.300380,13.625000
255.556443,-0.303353,13.625000
255.558061,-0.306326,13.625000
255.559681,-0.309301,13.625000
255.561303,-0.312277,13.625000
255.562929,-0.315255,13.625000
255.564556,-0.318233,13.625000
255.566185,-0.321213,13.625000
255.567816,-0.324194,13.625000
255.569447,-0.327176,13.625000
255.571080,-0.330158,13.625000
255.572713,-0.333142,13.625000
255.574347,-0.336127,13.625000
255.575980,-0.339113,13.625000
255.577613,-0.342099,13.625000
255.579246,-0.345086,13.625000
255.580877,-0.348074,13.625000
255.582507,-0.351063,13.625000
255.584135,-0.354052,13.625000
255.585762,-0.357042,13.625000
255.587386,-0.360033,13.625000
255.589008,-0.363024,13.625000
255.590627,-0.366016,13.625000
255.592243,-0.369009,13.625000
255.593856,-0.372002,13.625000
255.595466,-0.374997,13.625000
255.597071,-0.377992,13.625000
255.598673,-0.380987,13.625000
255.600270,-0.383984,13.625000
255.601862,-0.386981,13.625000
255.603450,-0.389979,13.625000
255.605032,-0.392978,13.625000
255.606609,-0.395978,13.625000
255.608180,-0.398978,13.625000
255.609746,-0.401980,13.625000
255.611308,-0.404982,13.625000
255.612865,-0.407985,13.625000
255.614419,-0.410988,13.625000
255.615971,-0.413993,13.625000
255.617520,-0.416998,13.625000
255.619068,-0.420004,13.625000
255.620614,-0.423010,13.625000
255.622161,-0.426017,13.625000
255.623707,-0.429024,13.625000
255.625255,-0.432033,13.625000
255.626804,-0.435041,13.625000
255.628355,-0.438050,13.625000
255.629908,-0.441060,13.625000
255.631465,-0.444070,13.625000
255.633025,-0.447080,13.625000
255.634587,-0.450091,13.625000
255.636150,-0.453102,13.625000
255.637715,-0.456114,13.625000
255.639281,-0.459126,13.625000
255.640846,-0.462139,13.625000
255.642411,-0.465152,13.625000
255.643975,-0.468165,13.625000
255.645537,-0.471179,13.625000
255.647098,-0.474193,13.625000
255.648655,-0.477208,13.625000
255.650209,-0.480223,13.625000
255.651760,-0.483238,13.625000
255.653306,-0.486254,13.625000
255.654847,-0.489270,13.625000
255.656384,-0.492287,13.625000
255.657917,-0.495304,13.625000
255.659447,-0.498322,13.625000
255.660974,-0.501340,13.625000
255.662500,-0.504358,13.625000
255.664025,-0.507377,13.625000
255.665550,-0.510396,13.625000
255.667075,-0.513415,13.625000
255.668602,-0.516435,13.625000
255.670130,-0.519455,13.625000
255.671662,-0.522476,13.625000
255.673196,-0.525496,13.625000
255.674735,-0.528518,13.625000
255.676279,-0.531539,13.625000
255.677828,-0.534561,13.625000
255.679383,-0.537583,13.625000
255.680943,-0.540605,13.625000
255.682507,-0.543628,13.625000
255.684075,-0.546651,13.625000
255.685645,-0.549674,13.625000
255.687217,-0.552698,13.625000
255.688789,-0.555721,13.625000
255.690363,-0.558745,13.625000
255.691935,-0.561769,13.625000
255.693506,-0.564793,13.625000
255.695075,-0.567817,13.625000
255.696641,-0.570842,13.625000
255.698204,-0.573866,13.625000
255.699762,-0.576891,13.625000
255.701314,-0.579916,13.625000
255.702860,-0.582940,13.625000
255.704396,-0.585965,13.625000
255.705917,-0.588990,13.625000
255.707418,-0.592015,13.625000
255.708897,-0.595040,13.625000
255.710350,-0.598065,13.625000
255.711790,-0.601091,13.625000
255.713228,-0.604116,13.625000
255.714680,-0.607142,13.625000
255.716157,-0.610168,13.625000
255.717671,-0.613195,13.625000
255.719216,-0.616221,13.625000
255.720784,-0.619248,13.625000
255.722369,-0.622274,13.625000
255.723961,-0.625299,13.625000
255.725554,-0.628324,13.625000
255.727140,-0.631348,13.625000
255.728710,-0.634374,13.625000
255.730259,-0.637400,13.625000
255.731779,-0.640429,13.625000
255.733265,-0.643460,13.625000
255.734731,-0.646492,13.625000
255.736194,-0.649521,13.625000
255.737670,-0.652546,13.625000
255.739177,-0.655563,13.625000
255.740725,-0.658572,13.625000
255.742292,-0.661580,13.625000
255.743846,-0.664595,13.625000
255.745354,-0.667628,13.625000
255.746785,-0.670688,13.625000
255.748084,-0.673816,13.625000
255.748925,-0.677103,13.625000
255.749000,-0.680476,13.625000
255.748974,-0.683859,13.625000
255.748300,-0.687174,13.625000
255.747146,-0.690338,13.625000
255.745814,-0.693276,13.625000
255.743656,-0.695920,13.625000
255.740964,-0.698208,13.625000
255.738022,-0.700085,13.625000
255.735044,-0.701505,13.625000
255.731574,-0.702435,13.625000
255.728098,-0.702853,13.625000
255.724859,-0.702749,13.625000
255.722084,-0.702126,13.625000
255.718682,-0.700998,13.625000
255.715766,-0.699392,13.625000
255.712775,-0.697348,13.625000
255.710192,-0.694907,13.625000
255.708357,-0.692293,13.625000
255.706274,-0.689680,13.625000
255.704068,-0.687067,13.625000
255.702263,-0.684456,13.625000
255.700086,-0.681847,13.625000
255.697901,-0.679239,13.625000
255.695721,-0.676633,13.625000
255.693545,-0.674029,13.625000
255.691371,-0.671426,13.625000
255.689199,-0.668825,13.625000
255.687027,-0.666226,13.625000
255.684853,-0.663629,13.625000
255.682677,-0.661033,13.625000
255.680495,-0.658439,13.625000
255.678308,-0.655847,13.625000
255.676114,-0.653257,13.625000
255.673912,-0.650669,13.625000
255.671704,-0.648083,13.625000
255.669489,-0.645499,13.625000
255.667268,-0.642916,13.625000
255.665043,-0.640335,13.625000
255.662812,-0.637756,13.625000
255.660578,-0.635179,13.625000
255.658339,-0.632603,13.625000
255.656098,-0.630029,13.625000
255.653854,-0.627457,13.625000
255.651608,-0.624886,13.625000
255.649360,-0.622318,13.625000
255.647112,-0.619751,13.625000
255.644865,-0.617185,13.625000
255.642619,-0.614622,13.625000
255.640375,-0.612060,13.625000
255.638134,-0.609500,13.625000
255.635897,-0.606942,13.625000
255.633664,-0.604386,13.625000
255.631437,-0.601832,13.625000
255.629216,-0.599280,13.625000
255.627002,-0.596730,13.625000
255.624792,-0.594182,13.625000
255.622584,-0.591636,13.625000
255.620378,-0.589092,13.625000
255.618171,-0.586549,13.625000
255.615962,-0.584008,13.625000
255.613748,-0.581469,13.625000
255.611529,-0.578932,13.625000
255.609303,-0.576396,13.625000
255.607067,-0.573862,13.625000
255.604820,-0.571329,13.625000
255.602563,-0.568798,13.625000
255.600296,-0.566268,13.625000
255.598020,-0.563740,13.625000
255.595737,-0.561214,13.625000
255.593446,-0.558690,13.625000
255.591150,-0.556169,13.625000
255.588848,-0.553649,13.625000
255.586542,-0.551132,13.625000
255.584232,-0.548617,13.625000
255.581919,-0.546104,13.625000
255.579605,-0.543594,13.625000
255.577290,-0.541087,13.625000
255.574976,-0.538581,13.625000
255.572662,-0.536078,13.625000
255.570350,-0.533577,13.625000
255.568041,-0.531078,13.625000
255.565736,-0.528581,13.625000
255.563436,-0.526085,13.625000
255.561142,-0.523591,13.625000
255.558854,-0.521099,13.625000
255.556573,-0.518608,13.625000
255.554297,-0.516119,13.625000
255.552025,-0.513631,13.625000
255.549755,-0.511144,13.625000
255.547485,-0.508659,13.625000
255.545213,-0.506176,13.625000
255.542937,-0.503694,13.625000
255.540655,-0.501214,13.625000
255.538366,-0.498735,13.625000
255.536068,-0.496258,13.625000
255.533759,-0.493783,13.625000
255.531439,-0.491310,13.625000
255.529110,-0.488838,13.625000
255.526772,-0.486368,13.625000
255.524426,-0.483900,13.625000
255.522073,-0.481433,13.625000
255.519714,-0.478968,13.625000
255.517350,-0.476505,13.625000
255.514982,-0.474043,13.625000
255.512611,-0.471583,13.625000
255.510237,-0.469125,13.625000
255.507862,-0.466668,13.625000
255.505487,-0.464213,13.625000
255.503113,-0.461759,13.625000
255.500740,-0.459308,13.625000
255.498370,-0.456859,13.625000
255.496004,-0.454412,13.625000
255.493643,-0.451966,13.625000
255.491287,-0.449524,13.625000
255.488938,-0.447083,13.625000
255.486596,-0.444645,13.625000
255.484261,-0.442210,13.625000
255.481931,-0.439776,13.625000
255.479604,-0.437345,13.625000
255.477278,-0.434916,13.625000
255.474950,-0.432489,13.625000
255.472619,-0.430064,13.625000
255.470284,-0.427640,13.625000
255.467940,-0.425218,13.625000
255.465588,-0.422797,13.625000
255.463225,-0.420378,13.625000
255.460851,-0.417960,13.625000
255.458468,-0.415544,13.625000
255.456080,-0.413129,13.625000
255.453687,-0.410715,13.625000
255.451291,-0.408303,13.625000
255.448895,-0.405892,13.625000
255.446502,-0.403484,13.625000
255.444112,-0.401076,13.625000
255.441728,-0.398670,13.625000
255.439352,-0.396267,13.625000
255.436983,-0.393864,13.625000
255.434619,-0.391464,13.625000
255.432258,-0.389065,13.625000
255.429898,-0.386668,13.625000
255.427536,-0.384272,13.625000
255.425172,-0.381878,13.625000
255.422801,-0.379486,13.625000
255.420423,-0.377095,13.625000
255.418036,-0.374706,13.625000
255.415637,-0.372319,13.625000
255.413227,-0.369934,13.625000
255.410806,-0.367550,13.625000
255.408377,-0.365167,13.625000
255.405940,-0.362787,13.625000
255.403496,-0.360408,13.625000
255.401047,-0.358031,13.625000
255.398592,-0.355655,13.625000
255.396134,-0.353281,13.625000
255.393673,-0.350909,13.625000
255.391211,-0.348538,13.625000
255.388748,-0.346170,13.625000
255.386286,-0.343803,13.625000
255.383825,-0.341437,13.625000
255.381367,-0.339073,13.625000
255.378913,-0.336712,13.625000
255.376464,-0.334351,13.625000
255.374022,-0.331993,13.625000
255.371586,-0.329636,13.625000
255.369159,-0.327281,13.625000
255.366739,-0.324928,13.625000
255.364326,-0.322576,13.625000
255.361916,-0.320226,13.625000
255.359508,-0.317878,13.625000
255.357099,-0.315532,13.625000
255.354687,-0.313188,13.625000
255.352269,-0.310845,13.625000
255.349845,-0.308504,13.625000
255.347410,-0.306165,13.625000
255.344964,-0.303827,13.625000
255.342506,-0.301492,13.625000
255.340038,-0.299158,13.625000
255.337560,-0.296826,13.625000
255.335074,-0.294496,13.625000
255.332580,-0.292168,13.625000
255.330081,-0.289842,13.625000
255.327577,-0.287517,13.625000
255.325069,-0.285195,13.625000
255.322558,-0.282875,13.625000
255.320046,-0.280557,13.625000
