# x,rtheta,r
252.122000,-1.564240,13.635000
252.119191,-1.569938,13.635000
252.117494,-1.575783,13.635000
252.116242,-1.581716,13.635000
252.115378,-1.587736,13.635000
252.114696,-1.593808,13.635000
252.114181,-1.599901,13.635000
252.114053,-1.606007,13.635000
252.114321,-1.612111,13.635000
252.114967,-1.618196,13.635000
252.115976,-1.624239,13.635000
252.117189,-1.630236,13.635000
252.118489,-1.636181,13.635000
252.120050,-1.642065,13.635000
252.121858,-1.647880,13.635000
252.123740,-1.653621,13.635000
252.125830,-1.659293,13.635000
252.128275,-1.664901,13.635000
252.131070,-1.670436,13.635000
252.134070,-1.675908,13.635000
252.137090,-1.681329,13.635000
252.140096,-1.686696,13.635000
252.143088,-1.692007,13.635000
252.146064,-1.697268,13.635000
252.149025,-1.702480,13.635000
252.152005,-1.707636,13.635000
252.155170,-1.712732,13.635000
252.158593,-1.717768,13.635000
252.162146,-1.722754,13.635000
252.165763,-1.727696,13.635000
252.169440,-1.732594,13.635000
252.173175,-1.737449,13.635000
252.176966,-1.742261,13.635000
252.180810,-1.747032,13.635000
252.184706,-1.751761,13.635000
252.188650,-1.756449,13.635000
252.192641,-1.761098,13.635000
252.196677,-1.765707,13.635000
252.200755,-1.770278,13.635000
252.204873,-1.774810,13.635000
252.209029,-1.779305,13.635000
252.213222,-1.783762,13.635000
252.217453,-1.788181,13.635000
252.221722,-1.792561,13.635000
252.226031,-1.796900,13.635000
252.230379,-1.801199,13.635000
252.234767,-1.805456,13.635000
252.239195,-1.809670,13.635000
252.243666,-1.813841,13.635000
252.248178,-1.817968,13.635000
252.252733,-1.822050,13.635000
252.257330,-1.826086,13.635000
252.261971,-1.830075,13.635000
252.266652,-1.834014,13.635000
252.271373,-1.837904,13.635000
252.276134,-1.841741,13.635000
252.280933,-1.845525,13.635000
252.285769,-1.849254,13.635000
252.290641,-1.852926,13.635000
252.295549,-1.856541,13.635000
252.300490,-1.860095,13.635000
252.305464,-1.863590,13.635000
252.310472,-1.867030,13.635000
252.315513,-1.870419,13.635000
252.320587,-1.873763,13.635000
252.325694,-1.877066,13.635000
252.330835,-1.880333,13.635000
252.336009,-1.883569,13.635000
252.341216,-1.886778,13.635000
252.346456,-1.889966,13.635000
252.351729,-1.893132,13.635000
252.357036,-1.896268,13.635000
252.362374,-1.899359,13.635000
252.367745,-1.902395,13.635000
252.373148,-1.905361,13.635000
252.378582,-1.908246,13.635000
252.384047,-1.911038,13.635000
252.389543,-1.913728,13.635000
252.395068,-1.916322,13.635000
252.400624,-1.918829,13.635000
252.406209,-1.921260,13.635000
252.411823,-1.923623,13.635000
252.417466,-1.925929,13.635000
252.423138,-1.928187,13.635000
252.428835,-1.930401,13.635000
252.434554,-1.932572,13.635000
252.440291,-1.934698,13.635000
252.446039,-1.936776,13.635000
252.451794,-1.938804,13.635000
252.457551,-1.940781,13.635000
252.463307,-1.942704,13.635000
252.469063,-1.944571,13.635000
252.474827,-1.946377,13.635000
252.480606,-1.948119,13.635000
252.486406,-1.949793,13.635000
252.492234,-1.951395,13.635000
252.498098,-1.952920,13.635000
252.504000,-1.954369,13.635000
252.509937,-1.955743,13.635000
252.515905,-1.957048,13.635000
252.521898,-1.958286,13.635000
252.527913,-1.959463,13.635000
252.533944,-1.960582,13.635000
252.539989,-1.961647,13.635000
252.546045,-1.962656,13.635000
252.552111,-1.963610,13.635000
252.558188,-1.964508,13.635000
252.564274,-1.965347,13.635000
252.570369,-1.966128,13.635000
252.576470,-1.966850,13.635000
252.582579,-1.967509,13.635000
252.588695,-1.968106,13.635000
252.594815,-1.968639,13.635000
252.600941,-1.969104,13.635000
252.607071,-1.969502,13.635000
252.613205,-1.969830,13.635000
252.619340,-1.970088,13.635000
252.625471,-1.970278,13.635000
252.631593,-1.970403,13.635000
252.637702,-1.970464,13.635000
252.643792,-1.970464,13.635000
252.649858,-1.970404,13.635000
252.655901,-1.970286,13.635000
252.661928,-1.970109,13.635000
252.667947,-1.969872,13.635000
252.673965,-1.969575,13.635000
252.679990,-1.969217,13.635000
252.686030,-1.968797,13.635000
252.692089,-1.968315,13.635000
252.698165,-1.967771,13.635000
252.704251,-1.967166,13.635000
252.710345,-1.966499,13.635000
252.716439,-1.965771,13.635000
252.722530,-1.964982,13.635000
252.728614,-1.964132,13.635000
252.734689,-1.963222,13.635000
252.740754,-1.962251,13.635000
252.746810,-1.961220,13.635000
252.752854,-1.960128,13.635000
252.758888,-1.958977,13.635000
