 EEE-HPT-2-UP.DATA                                                              
          NK          NJ        NBLADE    UNITS
          41          33          48           1
       X           R           RT
  6392.94922   321.95490   -16.26036
  6392.94922   321.95618   -16.26042
  6392.94873   321.97327   -16.26113
  6392.94727   322.02194   -16.26317
  6392.94482   322.11798   -16.26715
  6392.94092   322.27719   -16.27348
  6392.93408   322.51541   -16.28179
  6392.92578   322.84839   -16.28946
  6392.91357   323.29190   -16.28215
  6392.89795   323.86179   -16.24594
  6392.87842   324.58963   -16.19788
  6392.85449   325.44379   -16.15314
  6392.82422   326.48749   -16.10524
  6392.75342   328.75351   -16.02635
  6392.67188   331.01917   -15.82937
  6392.57764   333.28436   -15.80826
  6392.43555   335.54703   -15.93188
  6392.27637   337.80856   -15.92757
  6392.10840   340.06946   -15.93687
  6391.93652   342.33008   -15.95873
  6391.76514   344.59076   -15.99100
  6391.61572   346.85297   -16.03765
  6391.47900   349.11594   -16.05249
  6391.34717   351.37927   -16.13483
  6391.21973   353.64285   -16.14950
  6391.09668   355.90665   -16.16881
  6390.97607   358.17056   -16.19295
  6390.85840   360.43463   -16.22000
  6390.74219   362.69882   -16.24761
  6390.68945   363.74158   -16.25984
  6390.64648   364.59500   -16.26989
  6390.60938   365.32217   -16.27842
  6390.58057   365.89154   -16.28497
  6390.55811   366.33466   -16.28985
  6390.54150   366.66733   -16.29339
  6390.52979   366.90530   -16.29589
  6390.52148   367.06442   -16.29755
  6390.51660   367.16037   -16.29855
  6390.51416   367.20898   -16.29906
  6390.51318   367.22604   -16.29923
  6390.51318   367.22733   -16.29925
