 
 EEE-HPT-0                                                                      
  
  LETE.DATA ARE ESTIMATED, UNITS IN INCHES & DEGREES 
    K        LED        LEMA        TED         TEMA        XLE         RTLE         RLE        XTE         RTTE        RTE        CHORD
    1     0.29139    -2.42857     0.04977    68.89959   248.26140    -1.84192    12.53893   249.60344     0.04734    12.82498     2.33500
    2     0.29116    -2.42857     0.04971    68.94613   248.26140    -1.84980    12.59338   249.59933     0.04246    12.86318     2.33313
    3     0.29073    -2.42857     0.04961    68.99248   248.26140    -1.84989    12.64703   249.59532     0.03768    12.90156     2.32531
    4     0.29012    -2.42857     0.04948    69.03863   248.26138    -1.85758    12.70013   249.59111     0.03314    12.94016     2.32392
    5     0.28937    -2.42857     0.04933    69.08459   248.26138    -1.86523    12.75286   249.58731     0.02862    12.97896     2.32290
    6     0.28853    -2.42857     0.04918    69.13035   248.26137    -1.87285    12.80534   249.58369     0.02427    13.01796     2.32224
    7     0.28765    -2.42857     0.04906    69.17593   248.26135    -1.88046    12.85765   249.58018     0.02013    13.05711     2.32192
    8     0.28678    -2.42857     0.04896    69.22131   248.26134    -1.88807    12.90984   249.57726     0.01663    13.09639     2.32257
    9     0.28596    -2.42857     0.04889    69.26650   248.26132    -1.89569    12.96197   249.57547     0.01461    13.13578     2.32517
   10     0.28524    -2.42857     0.04885    69.31152   248.26129    -1.90332    13.01405   249.57397     0.01299    13.17526     2.32838
   11     0.28464    -2.42857     0.04883    69.35633   248.26126    -1.91098    13.06611   249.57281     0.01173    13.21480     2.33219
   12     0.28417    -2.42857     0.04883    69.40097   248.26123    -1.91868    13.11817   249.57191     0.01080    13.25440     2.33652
   13     0.28385    -2.42857     0.04884    69.44542   248.26118    -1.92641    13.17021   249.57124     0.01019    13.29405     2.34136
   14     0.28365    -2.42857     0.04886    69.48969   248.26112    -1.93417    13.22227   249.57086     0.00984    13.33372     2.34670
   15     0.28355    -2.42857     0.04888    69.53378   248.26106    -1.94198    13.27434   249.57068     0.00977    13.37342     2.35249
   16     0.28353    -2.42857     0.04891    69.57767   248.26100    -1.94982    13.32642   249.57071     0.00993    13.41314     2.35870
   17     0.28357    -2.42857     0.04894    69.62141   248.26094    -1.95770    13.37851   249.57094     0.01029    13.45287     2.36529
   18     0.28364    -2.42857     0.04896    69.66496   248.26086    -1.96562    13.43062   249.57132     0.01085    13.49261     2.37226
   19     0.28373    -2.42857     0.04898    69.70832   248.26079    -1.98184    13.48275   249.57185     0.01157    13.53236     2.38642
   20     0.28382    -2.42857     0.04899    69.75151   248.26071    -1.98995    13.53490   249.57288     0.01230    13.57210     2.39419
   21     0.28391    -2.42857     0.04897    69.79453   248.26064    -1.99812    13.58707   249.57365     0.01325    13.61185     2.40213
   22     0.28400    -2.42857     0.04894    69.83737   248.26053    -2.00634    13.63926   249.57454     0.01430    13.65161     2.41035
   23     0.28407    -2.42857     0.04889    69.88004   248.26044    -2.01462    13.69147   249.57544     0.01542    13.69136     2.41874
   24     0.28408    -2.42857     0.04882    69.92253   248.26036    -2.02295    13.74370   249.57640     0.01656    13.73112     2.42729
   25     0.28396    -2.42857     0.04874    69.96485   248.26027    -2.03134    13.79595   249.57753     0.01793    13.77087     2.43626
