pitch_to_chord,Loss Coefficient Yp,Outlet Angle
1.001476015,0.07395446,-40
0.967527675,0.071369994,-40
0.911439114,0.068525245,-40
0.867158672,0.066833948,-40
0.812546125,0.065743137,-40
0.762361624,0.065231212,-40
0.716605166,0.065590856,-40
0.667896679,0.067710917,-40
0.63099631,0.070106381,-40
0.598523985,0.072788048,-40
0.56900369,0.076050761,-40
0.533579336,0.080492845,-40
0.501107011,0.085515975,-40
0.477490775,0.089355414,-40
0.450922509,0.094662587,-40
0.411070111,0.103208712,-40
0.384501845,0.1099793,-40
0.362361624,0.116158042,-40
0.341697417,0.122627306,-40
0.318081181,0.130856989,-40
0.306273063,0.135557196,-40
0.2900369,0.141727297,-40
1.001476015,0.087417874,-50
0.964575646,0.08395968,-50
0.918819188,0.080514445,-50
0.873062731,0.077361894,-50
0.830258303,0.075375754,-50
0.791881919,0.074261183,-50
0.753505535,0.073146611,-50
0.728413284,0.072890649,-50
0.681180812,0.073837818,-50
0.635424354,0.076246242,-50
0.6,0.078639546,-50
0.563099631,0.081913059,-50
0.529151292,0.086352984,-50
0.496678967,0.091083431,-50
0.470110701,0.095219872,-50
0.437638376,0.101706417,-50
0.41402214,0.10700927,-50
0.393357934,0.11201512,-50
0.374169742,0.116726127,-50
0.357933579,0.121725497,-50
0.335793358,0.128489605,-50
0.32398524,0.132311763,-50
0.310701107,0.137306813,-50
0.29298893,0.143186392,-50
1.001476015,0.101759338,-55
0.951291513,0.096857169,-55
0.918819188,0.09397786,-55
0.977859779,0.099452435,-55
0.873062731,0.090532625,-55
0.840590406,0.088531365,-55
0.797785978,0.086252543,-55
0.759409594,0.084552606,-55
0.72103321,0.0840234,-55
0.681180812,0.084374404,-55
0.635424354,0.085612096,-55
0.601476015,0.087125191,-55
0.573431734,0.089215012,-55
0.53800738,0.091900999,-55
0.492250923,0.097821618,-55
0.450922509,0.10402844,-55
0.418450185,0.110222302,-55
0.393357934,0.115234632,-55
0.365313653,0.122592746,-55
0.341697417,0.129944379,-55
0.322509225,0.136118801,-55
0.303321033,0.142585906,-55
0.294464945,0.145233012,-55
1.001476015,0.122832508,-60
0.96900369,0.1199532,-60
0.927675277,0.116501485,-60
0.893726937,0.113624336,-60
0.858302583,0.11104203,-60
0.81697417,0.108175682,-60
0.769741697,0.105317973,-60
0.706273063,0.102484025,-60
0.635424354,0.100831608,-60
0.56900369,0.101806858,-60
0.533579336,0.10302943,-60
0.492250923,0.105138691,-60
0.456826568,0.108117361,-60
0.430258303,0.111668437,-60
0.409594096,0.114918189,-60
0.387453875,0.119340833,-60
0.369741697,0.123756998,-60
0.353505535,0.127878319,-60
0.343173432,0.131405634,-60
0.326937269,0.136112321,-60
0.310701107,0.141697057,-60
0.294464945,0.146403744,-60
1.00295203,0.15004986,-65
0.977859779,0.146867069,-65
0.951291513,0.143686437,-65
0.926199262,0.140503645,-65
0.895202952,0.13703681,-65
0.865682657,0.134153182,-65
0.834686347,0.130686347,-65
0.806642066,0.128093241,-65
0.778597786,0.125500135,-65
0.750553506,0.122907029,-65
0.719557196,0.120903609,-65
0.694464945,0.119184232,-65
0.667896679,0.117759698,-65
0.632472325,0.115762758,-65
0.608856089,0.114919269,-65
0.583763838,0.114663307,-65
0.554243542,0.11499919,-65
0.527675277,0.116208802,-65
0.496678967,0.11801026,-65
0.461254613,0.120696247,-65
0.436162362,0.123659797,-65
0.412546125,0.126621186,-65
0.388929889,0.130460625,-65
0.365313653,0.135178112,-65
0.347601476,0.139594276,-65
0.328413284,0.144597966,-65
0.312177122,0.149890019,-65
0.298892989,0.154299703,-65
1.00295203,0.18897669,-70
0.989667897,0.186947349,-70
0.960147601,0.182892989,-70
0.939483395,0.179411034,-70
0.912915129,0.175937719,-70
0.887822878,0.171876879,-70
0.861254613,0.168696247,-70
0.834686347,0.164637566,-70
0.780073801,0.157107731,-70
0.809594096,0.161162092,-70
0.757933579,0.154505985,-70
0.732841328,0.151323193,-70
0.710701107,0.148721447,-70
0.682656827,0.145542975,-70
0.657564576,0.142945549,-70
0.626568266,0.140064081,-70
0.598523985,0.137763658,-70
0.567527675,0.136052921,-70
0.535055351,0.135222392,-70
0.502583026,0.13497723,-70
0.47601476,0.135308793,-70
0.446494465,0.136522725,-70
0.419926199,0.138610386,-70
0.390405904,0.141873099,-70
0.360885609,0.145428494,-70
0.337269373,0.149853299,-70
0.316605166,0.154566466,-70
0.295940959,0.160450365,-70
