i/istall,Yp/Yp0
-4.141027758,6.507823789
-3.990469703,6.193220759
-3.84820335,5.878576442
-3.697645294,5.563973412
-3.538864346,5.266008835
-3.355036263,4.926675199
-3.17120818,4.587341563
-2.945818367,4.223318608
-2.728789067,3.875851534
-2.528549606,3.57809339
-2.386696118,3.36303208
-2.236482116,3.131414888
-1.994577708,2.784071673
-1.727763786,2.428553734
-1.552709082,2.205358986
-1.31944043,1.940960324
-1.111218915,1.717930721
-0.903031804,1.503199703
-0.67839891,1.321745593
-0.428994124,1.165311094
0.011051016,1.026423352
0.400451399,1.103051071
0.640016239,1.32001156
0.81300662,1.594731844
0.919663378,1.869121836
1.042628298,2.209983073
1.107860947,2.475868048
1.181110056,2.808182982
1.237913381,3.107221007
1.302939598,3.422897486
1.36800022,3.730275381
1.424631518,4.070806325
1.473211951,4.353205896
1.513707114,4.585772677
1.553927033,4.884728128
1.585786439,5.200239462
1.626075169,5.482597746
1.649367629,5.864456463
1.664746845,6.154989472
