Outlet Isentropic Mach Number,Profile Loss Increment,arcsin((o+t)/t)
0.807770961,-0.12345992,30
1,-0.05830756,30
1.161554192,0.746843786,30
1.282208589,1.75353648,30
1.421267894,3.382345485,30
1.519427403,5.047406581,30
1.605316973,6.793591239,30
1.656441718,8.122243066,30
1.711656442,9.864625057,30
1.801635992,13.67743244,30
1.826175869,15.04411094,30
1.860940695,17.27982558,30
1.869120654,18.14860822,30
0.807770961,-0.12345992,18
1,-0.05830756,18
1.063394683,-0.050448715,18
1.208588957,0.504740658,18
1.327198364,1.0979567,18
1.400817996,1.644273184,18
1.478527607,2.397708259,18
1.562372188,3.399837753,18
1.605316973,4.190285454,18
1.705521472,6.392790143,18
1.750511247,7.555392182,18
1.793456033,8.883029965,18
1.824130879,10.08517974,18
1.846625767,11.0797039,18
1.883435583,12.61319272,18
1.918200409,14.43568423,18
1.948875256,16.54692491,18
1.977505112,18.61658977,18
0.807770961,-0.12345992,12
1,-0.05830756,12
1.063394683,-0.050448715,12
1.116564417,-0.043857425,12
1.235173824,0.260102418,12
1.306748466,0.59955382,12
1.402862986,1.148658926,12
1.492842536,1.862292755,12
1.558282209,2.57288445,12
1.63190184,3.615068702,12
1.705521472,4.739897582,12
1.758691207,5.696902094,12
1.805725971,6.653146073,12
1.852760736,7.981290879,12
1.897750511,9.309182173,12
1.936605317,10.71895756,12
1.965235174,11.8382092,12
1.99591002,13.24697054,12
2.034764826,14.94600213,12
2.057259714,16.39507174,12
2.083844581,17.96861532,12
