Inverse Aspect Ratio,Secondary Loss Ratio
-0.010892912,-0.002218708
0.256933462,0.263573064
0.454492884,0.456459037
0.590589374,0.58933604
0.70907782,0.696419383
0.862593528,0.820497085
1.10381901,1.013005405
1.287924564,1.141142871
1.515885005,1.303495645
1.78321571,1.478480893
2.002372129,1.627936838
2.331047749,1.841310454
2.484445441,1.943767555
2.694797838,2.080326669
2.905103028,2.208237543
3.049673095,2.293473694
3.211780395,2.391531145
3.373911299,2.493912715
3.522871575,2.583435221
3.684955272,2.677168551
3.868966413,2.788009536
4.018149221,2.855169704
4.216292549,3.001385137
4.435704111,3.138307382
4.646519967,3.270671448
4.86151088,3.393820915
5.029249963,3.494199126
5.2183064,3.589881625
5.390171423,3.676447763
5.656490987,3.803958937
