Zeta0,"alpha1,beta2","alpha2,beta3"
45.66037736,1.402534523,45
48.30188679,1.368379136,45
52.0754717,1.326650943,45
55.8490566,1.292531447,45
60,1.262228261,45
64.1509434,1.22431638,45
68.67924528,1.190220809,45
73.58490566,1.148528507,45
79.62264151,1.099263399,45
84.90566038,1.046170016,45
89.81132075,1.004477714,45
95.09433962,0.951384331,45
100,0.894474638,45
104.5283019,0.837552981,45
108.3018868,0.776803049,45
111.6981132,0.719845502,45
115.0943396,0.659083607,45
118.490566,0.58310432,45
122.6415094,0.480518526,45
124.9056604,0.40450335,45
127.5471698,0.301869702,45
129.8113208,0.21824583,45
132.0754717,0.104187175,45
133.9622642,0.001529601,45
144.5283019,0.001864575,35
143.3962264,0.070306946,35
141.509434,0.176768868,35
140,0.252807971,35
138.1132075,0.325030763,35
136.2264151,0.40486225,35
134.3396226,0.48088939,35
131.3207547,0.572098031,35
129.0566038,0.636700164,35
126.4150943,0.701290334,35
123.0188679,0.765856576,35
120,0.826630435,35
116.6037736,0.872174938,35
111.3207547,0.94429006,35
106.7924528,0.993603022,35
100.3773585,1.046660514,35
94.71698113,1.095937585,35
87.54716981,1.148971151,35
81.13207547,1.194419948,35
75.09433962,1.232272013,35
68.30188679,1.273904498,35
56.98113208,1.342023858,35
63.39622642,1.304183757,35
52.0754717,1.376107465,35
44.1509434,1.440530148,35
149.4339623,0.002020098,30
148.6792453,0.062865737,30
147.5471698,0.146525499,30
146.0377358,0.237781993,30
144.5283019,0.329038488,30
143.0188679,0.408881939,30
141.1320755,0.492517774,30
135.8490566,0.655937244,30
133.2075472,0.728136109,30
130.1886792,0.804127358,30
126.0377358,0.864865327,30
121.8867925,0.925603295,30
116.6037736,0.986305373,30
111.6981132,1.035606371,30
106.0377358,1.088687791,30
99.62264151,1.134136587,30
93.96226415,1.175804963,30
78.49056604,1.270423161,30
87.16981132,1.221241797,30
70.94339623,1.308227372,30
63.01886792,1.34601962,30
55.8490566,1.383835794,30
50.18867925,1.421699822,30
44.1509434,1.463356235,30
35.47169811,1.523950643,30
30.56603774,1.580860336,30
154.3396226,0.00597997,25
153.5849057,0.082043,25
152.4528302,0.180920153,25
151.6981132,0.268396226,25
150.5660377,0.352055989,25
149.0566038,0.424290744,25
147.5471698,0.500329847,25
144.9056604,0.602963495,25
142.2641509,0.686575403,25
139.6226415,0.762578616,25
136.6037736,0.827156823,25
133.5849057,0.891735029,25
129.8113208,0.95248496,25
124.9056604,1.013199002,25
120,1.066304348,25
113.5849057,1.11936184,25
107.5471698,1.1648226,25
100.754717,1.210259434,25
91.32075472,1.259416872,25
83.39622642,1.297209119,25
76.98113208,1.323636177,25
70.18867925,1.350051272,25
63.77358491,1.380282677,25
56.22641509,1.41428254,25
159.6226415,0.002343109,20
158.8679245,0.086014835,20
157.7358491,0.169674597,20
156.9811321,0.249541974,20
156.2264151,0.3332137,20
155.4716981,0.405472382,20
153.9622642,0.485315833,20
152.0754717,0.591777755,20
149.8113208,0.683010323,20
147.5471698,0.770438543,20
144.5283019,0.846429792,20
141.1320755,0.914800383,20
136.9811321,0.990755742,20
132.8301887,1.051493711,20
127.1698113,1.115988173,20
120,1.176630435,20
112.8301887,1.225859653,20
105.6603774,1.263675827,20
98.11320755,1.29767569,20
89.81132075,1.331651627,20
80,1.361775362,20
70.94339623,1.384314329,20
60,1.42201087,20
48.67924528,1.455891099,20
29.43396226,1.546585316,20
20.37735849,1.649015587,20
36.22641509,1.50495283,20
164.9056604,-0.001293752,15
164.5283019,0.070976894,15
163.7735849,0.181279054,15
163.0188679,0.272559475,15
161.8867925,0.390458368,15
161.509434,0.458924665,15
160,0.561594203,15
158.8679245,0.649058313,15
156.9811321,0.736498496,15
155.0943396,0.816329984,15
152.4528302,0.896137544,15
149.0566038,0.964508135,15
146.0377358,1.044303733,15
139.6226415,1.131600355,15
133.5849057,1.199887203,15
126.7924528,1.249128384,15
120,1.283152174,15
109.8113208,1.324676989,15
99.24528302,1.358581146,15
84.90566038,1.392365669,15
71.69811321,1.407164342,15
59.62264151,1.421998906,15
42.64150943,1.478525772,15
34.33962264,1.501088666,15
25.28301887,1.546453719,15
19.62264151,1.591926442,15
15.8490566,1.648872026,15
132.0754717,1.352013262,10
124.9056604,1.378416393,10
117.3584906,1.397198865,10
110.1886792,1.404580257,10
103.7735849,1.411985576,10
96.98113208,1.419378931,10
83.39622642,1.422752598,10
73.96226415,1.422453514,10
67.54716981,1.429858832,10
62.26415094,1.441104389,10
