mu,Xi_cl,"0-stator,1-rotor"
0.000264317,0.000298507,0
0.008193833,0.007574627,0
0.013039648,0.011679104,0
0.018325991,0.016156716,0
0.023171806,0.020820896,0
0.029559471,0.025858209,0
0.037929515,0.03238806,0
0.045198238,0.037052239,0
0.054008811,0.042835821,0
0.060176211,0.046940299,0
0.065682819,0.050671642,0
0.073171806,0.054589552,0
0.078017621,0.05738806,0
0.085286344,0.061679104,0
0.092555066,0.065597015,0
0.100044053,0.069141791,0
0.000264317,0.000298507,1
0.006872247,0.009440299,1
0.011938326,0.015410448,1
0.016123348,0.020261194,1
0.020969163,0.025298507,1
0.026255507,0.030522388,1
0.030220264,0.034626866,1
0.034845815,0.03891791,1
0.039251101,0.043022388,1
0.046960352,0.049365672,1
0.052246696,0.053843284,1
0.059295154,0.059067164,1
0.066563877,0.064291045,1
0.070969163,0.067276119,1
0.0769163,0.070447761,1
0.0830837,0.07380597,1
0.088370044,0.07641791,1
0.094317181,0.078656716,1
0.100044053,0.080895522,1
